name_1,name_2,sc_fips,mv_thousand2016,mv_thousand2016_30year,mv_thousand2016_100year
Alabama,Baldwin,01003,176.57179,3552.0979,5907.6138
District of Columbia,District of Columbia,11001,3184.3467,64059.559,106539.62
Maryland,Somerset,24039,5.6120191,112.89709,187.76295
Maryland,Talbot,24041,64.543373,1298.4202,2159.4465
Maryland,Wicomico,24045,15.798585,317.8204,528.57788
Maryland,Worcester,24047,30.594961,615.47937,1023.6245
Massachusetts,Barnstable,25001,914.90216,18405.104,30610.148
Massachusetts,Bristol,25005,1117.8085,22486.973,37398.844
Massachusetts,Dukes,25007,2577.7229,51856.098,86243.625
Massachusetts,Essex,25009,136.81247,2752.2588,4577.3745
Massachusetts,Middlesex,25017,77782.93,1564760.6,2602406.3
Massachusetts,Nantucket,25019,2329.8257,46869.145,77949.656
Florida,Bay,12005,230.79449,4642.897,7721.7588
Massachusetts,Norfolk,25021,3239.2212,65163.473,108375.57
Massachusetts,Plymouth,25023,915.0968,18409.02,30616.66
Massachusetts,Suffolk,25025,15019.468,302146.91,502510.72
Mississippi,Hancock,28045,153.36893,3085.3254,5131.3091
Mississippi,Harrison,28047,800.22711,16098.184,26773.432
Mississippi,Jackson,28059,160.67236,3232.2488,5375.6621
New Hampshire,Rockingham,33015,29.836832,600.22809,998.25958
New Hampshire,Strafford,33017,137.40038,2764.0857,4597.0444
New Jersey,Atlantic,34001,79.437943,1598.0546,2657.7783
New Jersey,Bergen,34003,1698.6896,34172.57,56833.551
Florida,Brevard,12009,53.832859,1082.9565,1801.1017
New Jersey,Burlington,34005,99.674309,2005.1499,3334.8323
New Jersey,Camden,34007,2163.6072,43525.324,72388.438
New Jersey,Cape May,34009,112.69168,2267.0205,3770.3584
New Jersey,Cumberland,34011,12.627435,254.02634,422.47977
New Jersey,Gloucester,34015,156.89563,3156.2722,5249.3027
New Jersey,Hudson,34017,31456.033,632801.56,1052433.6
New Jersey,Middlesex,34023,522.00507,10501.186,17464.875
New Jersey,Monmouth,34025,1857.8844,37375.094,62159.781
New Jersey,Ocean,34029,202.58316,4075.3691,6777.8838
Florida,Broward,12011,284.25806,5718.4243,9510.5049
New Jersey,Salem,34033,39.840714,801.47632,1332.9624
New Jersey,Somerset,34035,100155.45,2014828.9,3350930
New Jersey,Union,34039,11758.186,236539.63,393397.03
New York,Bronx,36005,1983.5593,39903.297,66364.523
New York,Dutchess,36027,1003.1354,20180.094,33562.195
New York,Kings,36047,6201.561,124756.91,207487.44
New York,Nassau,36059,77.39183,1556.8928,2589.321
New York,New York,36061,27138.975,545955.25,907996.56
New York,Orange,36071,1677.1094,33738.438,56111.535
New York,Putnam,36079,439.5675,8842.7871,14706.738
Florida,Charlotte,12015,304.84048,6132.4814,10199.137
New York,Queens,36081,582.15619,11711.246,19477.369
New York,Richmond,36085,166.04941,3340.4189,5555.5635
New York,Rockland,36087,1035.4457,20830.08,34643.207
New York,Suffolk,36103,30.827898,620.16541,1031.418
New York,Ulster,36111,650.37775,13083.661,21759.877
New York,Westchester,36119,2411.6108,48514.418,80685.969
North Carolina,Beaufort,37013,62.571205,1258.7461,2093.4631
North Carolina,Bertie,37015,1.8076516,36.364559,60.479126
North Carolina,Brunswick,37019,173.91794,3498.7102,5818.8232
North Carolina,Camden,37029,4.7195282,94.942833,157.90263
Florida,Citrus,12017,76.854401,1546.0813,2571.3401
North Carolina,Carteret,37031,61.768291,1242.5939,2066.5996
North Carolina,Chowan,37041,18.816257,378.52698,629.54102
North Carolina,Craven,37049,103.00408,2072.135,3446.2375
North Carolina,Currituck,37053,8.9157333,179.35797,298.2963
North Carolina,Dare,37055,30.697859,617.54938,1027.0673
North Carolina,Gates,37073,3.5210342,70.83271,117.80427
North Carolina,Hertford,37091,5.4526224,109.69051,182.42998
North Carolina,Hyde,37095,7.9349174,159.62688,265.48083
North Carolina,Jones,37103,44.725906,899.75183,1496.4077
North Carolina,New Hanover,37129,454.36136,9140.3955,15201.7
Florida,Clay,12019,368.36923,7410.4902,12324.637
North Carolina,Onslow,37133,144.17406,2900.3521,4823.6733
North Carolina,Pamlico,37137,37.616924,756.74036,1258.5604
North Carolina,Pasquotank,37139,25.676279,516.53015,859.05872
North Carolina,Pender,37141,51.214283,1030.2787,1713.4912
North Carolina,Perquimans,37143,15.270684,307.20062,510.91574
North Carolina,Pitt,37147,107.16735,2155.8875,3585.5293
North Carolina,Tyrrell,37177,6.7719231,136.2309,226.57021
North Carolina,Washington,37187,32.019852,644.14392,1071.2975
Rhode Island,Bristol,44001,1032.6892,20774.627,34550.984
Rhode Island,Kent,44003,2813.5264,56599.762,94132.969
Florida,Collier,12021,37.976948,763.98291,1270.6058
Rhode Island,Newport,44005,706.79449,14218.598,23647.43
Rhode Island,Providence,44007,4914.2788,98860.633,164418.45
Rhode Island,Washington,44009,825.60773,16608.766,27622.598
South Carolina,Beaufort,45013,49.554962,996.89807,1657.9749
South Carolina,Berkeley,45015,61.405464,1235.2948,2054.4604
South Carolina,Charleston,45019,35.797882,720.14661,1197.7002
South Carolina,Colleton,45029,18.658129,375.34592,624.25043
South Carolina,Dorchester,45035,170.36136,3427.1626,5699.8296
South Carolina,Georgetown,45043,33.826591,680.49017,1131.7461
South Carolina,Hampton,45049,79.682762,1602.9796,2665.9695
Florida,Dixie,12029,28.35006,570.31866,948.51617
South Carolina,Horry,45051,115.70049,2327.5488,3871.0251
South Carolina,Jasper,45053,15.078128,303.32697,504.47333
Texas,Aransas,48007,267.33011,5377.8848,8944.1416
Texas,Brazoria,48039,145.70605,2931.1714,4874.9297
Texas,Calhoun,48057,93.117134,1873.239,3115.447
Texas,Cameron,48061,470.33282,9461.6943,15736.063
Texas,Chambers,48071,53.860905,1083.5208,1802.0399
Texas,Galveston,48167,1242.2275,24989.914,41561.57
Texas,Harris,48201,5903.6636,118764.11,197520.59
Texas,Jackson,48239,38.726013,779.05188,1295.6675
Florida,Duval,12031,270.45886,5440.8257,9048.8213
Texas,Jefferson,48245,134.13776,2698.4517,4487.8857
Texas,Kenedy,48261,6.1012969,122.7399,204.13287
Texas,Kleberg,48273,34.425529,692.539,1151.7849
Texas,Matagorda,48321,71.559334,1439.5604,2394.1814
Texas,Nueces,48355,2964.7598,59642.125,99192.828
Texas,Orange,48361,224.41519,4514.5645,7508.3242
Texas,Refugio,48391,10.795877,217.18085,361.20078
Texas,San Patricio,48409,248.88649,5006.854,8327.0674
Texas,Victoria,48469,27.230732,547.80115,911.06653
Texas,Willacy,48489,14.42496,290.18719,482.62009
Alabama,Mobile,01097,189.04387,3802.9988,6324.896
Florida,Escambia,12033,720.00232,14484.3,24089.328
Virginia,Accomack,51001,7.7226286,155.35626,258.37823
Virginia,Arlington,51013,8042.2178,161785.44,269070.81
Virginia,Caroline,51033,14.290543,287.48309,478.12283
Virginia,Charles City,51036,9.0962534,182.98949,304.336
Virginia,Chesterfield,51041,69.260262,1393.3099,2317.2607
Virginia,Essex,51057,21.634518,435.22198,723.83234
Virginia,Fairfax,51059,518.22418,10425.125,17338.377
Virginia,Gloucester,51073,35.318962,710.51221,1181.6768
Virginia,Hanover,51085,57.317043,1153.048,1917.673
Virginia,Henrico,51087,79.954353,1608.4431,2675.0562
Florida,Flagler,12035,156.2066,3142.4111,5226.25
Virginia,Isle of Wight,51093,87.044739,1751.0806,2912.2813
Virginia,James City,51095,74.280785,1494.3079,2485.2339
Virginia,King and Queen,51097,10.990332,221.0927,367.70673
Virginia,King George,51099,52.198563,1050.0795,1746.4225
Virginia,King William,51101,19.358292,389.43109,647.67603
Virginia,Lancaster,51103,123.80999,2490.6877,4142.3467
Virginia,Mathews,51115,50.980152,1025.5686,1705.6578
Virginia,Middlesex,51119,120.36967,2421.4788,4027.2429
Virginia,New Kent,51127,31.10993,625.83905,1040.854
Virginia,Northampton,51131,10.56987,212.63426,353.63922
Florida,Franklin,12037,36.454556,733.35693,1219.6707
Virginia,Northumberland,51133,119.63477,2406.6948,4002.6555
Virginia,Prince George,51149,15.019234,302.14218,502.50287
Virginia,Prince William,51153,492.94104,9916.5039,16492.473
Virginia,Richmond,51159,15.626971,314.36807,522.83612
Virginia,Spotsylvania,51177,771.20776,15514.4,25802.523
Virginia,Stafford,51179,149.81976,3013.9268,5012.5635
Virginia,Surry,51181,16.537203,332.6792,553.29004
Virginia,Westmoreland,51193,83.830589,1686.4215,2804.7444
Virginia,York,51199,209.97673,4224.1055,7025.2524
Virginia,Alexandria,51510,40812.484,821025.5,1365475.1
Florida,Gulf,12045,30.553694,614.64923,1022.2438
Virginia,Chesapeake,51550,45.166534,908.61597,1511.1499
Virginia,Hampton,51650,685.53546,13790.929,22936.16
Virginia,Hopewell,51670,750.79254,15103.707,25119.484
Virginia,Newport News,51700,317.04688,6378.0376,10607.529
Virginia,Norfolk,51710,6714.3218,135072.13,224643.02
Virginia,Poquoson,51735,136.34068,2742.7681,4561.5898
Virginia,Portsmouth,51740,3117.7363,62719.559,104311.02
Virginia,Suffolk,51800,101.4986,2041.8491,3395.8682
Virginia,Virginia Beach,51810,115.62942,2326.1191,3868.647
Virginia,Williamsburg,51830,1418.1804,28529.561,47448.477
Florida,Hernando,12053,92.320076,1857.2046,3088.7798
Florida,Hillsborough,12057,986.5943,19847.336,33008.773
Florida,Indian River,12061,592.50482,11919.43,19823.605
Florida,Jefferson,12065,12.014155,241.68898,401.96109
Florida,Lee,12071,320.72327,6451.9956,10730.531
Florida,Levy,12075,16.928244,340.54578,566.37317
Connecticut,Fairfield,09001,1099.6727,22122.137,36792.07
Florida,Liberty,12077,4.5599837,91.733276,152.5647
Florida,Manatee,12081,805.62946,16206.862,26954.18
Florida,Martin,12085,1617.2717,32534.684,54109.531
Florida,Miami-Dade,12086,137.97743,2775.6946,4616.3511
Florida,Monroe,12087,80.919899,1627.8671,2707.3606
Florida,Nassau,12089,88.857925,1787.5565,2972.9456
Florida,Okaloosa,12091,8027.6631,161492.64,268583.88
Florida,Palm Beach,12099,3360.2673,67598.555,112425.45
Florida,Pasco,12101,927.98572,18668.305,31047.889
Florida,Pinellas,12103,2406.4961,48411.523,80514.844
Connecticut,Middlesex,09007,137.78908,2771.9053,4610.0493
Florida,Putnam,12107,68.63549,1380.7413,2296.3577
Florida,Saint Johns,12109,289.77847,5829.4785,9695.2031
Florida,Saint Lucie,12111,383.32541,7711.3643,12825.03
Florida,Santa Rosa,12113,262.33627,5277.4233,8777.0615
Florida,Sarasota,12115,763.30621,15355.444,25538.158
Florida,Taylor,12123,16.376541,329.44717,547.91473
Florida,Volusia,12127,98.214645,1975.7858,3285.9961
Florida,Wakulla,12129,52.022884,1046.5453,1740.5448
Florida,Walton,12131,587.98016,11828.407,19672.223
Georgia,Brantley,13025,28.099253,565.27319,940.12488
Connecticut,New Haven,09009,195.36169,3930.0947,6536.2729
Georgia,Bryan,13029,25.207682,507.10339,843.38074
Georgia,Camden,13039,6.9423151,139.65868,232.27106
Georgia,Charlton,13049,16.177935,325.45181,541.2699
Georgia,Chatham,13051,16.96397,341.2645,567.56848
Georgia,Glynn,13127,14.831526,298.36606,496.22269
Georgia,Liberty,13179,7.9770885,160.47523,266.89178
Georgia,McIntosh,13191,5.3297324,107.21832,178.31841
Georgia,Wayne,13305,2.8948927,58.236607,96.85527
Louisiana,Ascension,22005,204.65002,4116.9482,6847.0356
Louisiana,Assumption,22007,39.33527,791.30835,1316.0516
Connecticut,New London,09011,188.77022,3797.4939,6315.7402
Louisiana,Calcasieu,22019,159.22162,3203.0642,5327.124
Louisiana,Cameron,22023,3.3052814,66.492409,110.58576
Louisiana,Iberia,22045,43.005184,865.13605,1438.8369
Louisiana,Jefferson,22051,392.13876,7888.6626,13119.9
Louisiana,Jefferson Davis,22053,171.16431,3443.3154,5726.6938
Louisiana,Lafourche,22057,28.481159,572.95599,952.90247
Louisiana,Livingston,22063,68.581314,1379.6515,2294.5449
Louisiana,Orleans,22071,1138.6006,22905.248,38094.492
Louisiana,Plaquemines,22075,22.552059,453.68018,754.53082
Louisiana,Saint Bernard,22087,35.842342,721.04102,1199.1877
Delaware,Kent,10001,17.452324,351.08871,583.90747
Louisiana,Saint Charles,22089,87.940392,1769.0984,2942.2473
Louisiana,Saint James,22093,58.028728,1167.365,1941.484
Louisiana,Saint John the Baptist,22095,96.7752,1946.8284,3237.8359
Louisiana,Saint Martin,22099,22.708048,456.81821,759.74976
Louisiana,Saint Mary,22101,29.516186,593.77765,987.53162
Louisiana,Saint Tammany,22103,288.59027,5805.5757,9655.4492
Louisiana,Tangipahoa,22105,73.224533,1473.0592,2449.8945
Louisiana,Terrebonne,22109,23.852167,479.83447,798.02893
Louisiana,Vermilion,22113,19.033411,382.89548,636.8064
Maine,Cumberland,23005,1.8431802,37.079288,61.667816
Delaware,New Castle,10003,69.757256,1403.308,2333.8889
Maine,Hancock,23009,1.949393,39.215973,65.221413
Maine,Knox,23013,2.4776967,49.843868,82.897018
Maine,Lincoln,23015,2.5610385,51.520458,85.68541
Maine,Sagadahoc,23023,.93207806,18.750631,31.184807
Maine,Waldo,23027,7.872869,158.37865,263.40488
Maine,Washington,23029,.70548993,14.192353,23.603783
Maine,York,23031,2.3493459,47.261833,78.602753
Maryland,Anne Arundel,24003,181.22574,3645.7214,6063.3223
Maryland,Baltimore,24005,301.54849,6066.2563,10088.996
Maryland,Calvert,24009,97.574455,1962.9071,3264.5769
Delaware,Sussex,10005,91.151833,1833.703,3049.6934
Maryland,Caroline,24011,29.489445,593.23969,986.63696
Maryland,Cecil,24015,86.233223,1734.7552,2885.1301
Maryland,Charles,24017,32.461777,653.03412,1086.0831
Maryland,Dorchester,24019,3.5203025,70.817986,117.77979
Maryland,Harford,24025,48.001095,965.63885,1605.9866
Maryland,Kent,24029,50.178833,1009.4485,1678.8478
Maryland,Prince George's,24033,61.000759,1227.1533,2040.9202
Maryland,Queen Anne's,24035,95.398453,1919.1323,3191.7739
Maryland,Saint Mary's,24037,74.042191,1489.5081,2477.2512
